1	Oxidoreductases
1.14.13.136	2-hydroxyisoflavanone synthase
1.14.13.137	Indole-2-monooxygenase
1.14.13.138	Indolin-2-one monooxygenase
1.14.13.139	3-hydroxyindolin-2-one monooxygenase
1.14.13.140	2-hydroxy-1,4-benzoxazin-3-one monooxygenase
1.14.13.141	Cholest-4-en-3-one 26-monooxygenase
1.14.13.142	3-ketosteroid 9-alpha-monooxygenase
1.14.13.143	Ent-isokaurene C2-hydroxylase
1.14.13.144	9-beta-pimara-7,15-diene oxidase
1.14.13.145	Ent-cassa-12,15-diene 11-hydroxylase
1.14.13.146	Taxoid 14-beta-hydroxylase
1.14.13.147	Taxoid 7-beta-hydroxylase
1.14.13.148	Trimethylamine monooxygenase
1.14.13.149	Phenylacetyl-CoA 1,2-epoxidase
1.14.13.150	Alpha-humulene 10-hydroxylase
1.14.13.151	Linalool 8-monooxygenase
1.14.13.152	Geraniol 8-hydroxylase
1.14.13.153	(+)-sabinene 3-hydroxylase
1.14.13.154	Erythromycin 12 hydroxylase
1.14.13.155	Alpha-pinene monooxygenase
1.14.13.156	1,8-cineole 2-endo-monooxygenase
1.14.13.157	1,8-cineole 2-exo-monooxygenase
1.14.13.158	Amorpha-4,11-diene 12 monooxygenase
1.14.13.159	Vitamin D 25-hydroxylase
1.14.13.160	(2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase
1.14.13.161	(+)-camphor 6-exo-hydroxylase
1.14.13.162	2,5-diketocamphane 1,2-monooxygenase
1.14.13.163	6-hydroxy-3-succinoylpyridine 3-monooxygenase
1.14.13.164	Transferred entry: 1.13.11.65
1.14.13.165	Nitric-oxide synthase (NAD(P)H)
1.14.13.166	4-nitrocatechol 4-monooxygenase
1.14.13.167	4-nitrophenol 4-monooxygenase
1.14.13.168	Indole-3-pyruvate monooxygenase
1.14.13.169	Transferred entry: 1.14.18.5
1.14.13.170	Pentalenolactone D synthase
1.14.13.171	Neopentalenolactone D synthase
1.14.13.172	Salicylate 5-hydroxylase
1.14.13.173	11-oxo-beta-amyrin 30-oxidase
1.14.13.174	Averantin hydroxylase
1.14.13.175	Aflatoxin B synthase
1.14.13.176	Tryprostatin B 6-hydroxylase
1.14.13.177	Fumitremorgin C monooxygenase
1.14.13.178	Methylxanthine N(1)-demethylase
1.14.13.179	Methylxanthine N(3)-demethylase
1.14.13.180	Aklavinone 12-hydroxylase
1.14.13.181	13-deoxydaunorubicin hydroxylase
1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase
1.14.13.183	Dammarenediol 12-hydroxylase
1.14.13.184	Protopanaxadiol 6-hydroxylase
1.14.13.185	Pikromycin synthase
1.14.13.186	20-oxo-5-O-mycaminosyltylactone 23-monooxygenase
1.14.13.187	L-evernosamine nitrososynthase
1.14.13.188	6-deoxyerythronolide B hydroxylase
1.14.13.189	5-methyl-1-naphthoate 3-hydroxylase
1.14.13.190	Ferruginol synthase
1.14.13.191	Ent-sandaracopimaradiene 3-hydroxylase
1.14.13.192	Oryzalexin E synthase
1.14.13.193	Oryzalexin D synthase
1.14.13.194	Phylloquinone omega-hydroxylase
1.14.13.195	L-ornithine N(5)-monooxygenase (NADPH)
1.14.13.196	L-ornithine N(5)-monooxygenase (NAD(P)H)
1.14.13.197	Dihydromonacolin L hydroxylase
1.14.13.198	Monacolin L hydroxylase
1.14.13.199	Docosahexaenoic acid omega-hydroxylase
1.14.13.200	Tetracenomycin A2 monooxygenase-diooxygenase
1.14.13.201	Beta-amyrin 28-monooxygenase
1.14.13.202	Methyl farnesoate epoxidase
1.14.13.203	Farnesoate epoxidase
1.14.13.204	Long-chain acyl-CoA omega-monooxygenase
1.14.13.205	Long-chain fatty acid omega-monooxygenase
1.14.13.206	Laurate 7-monooxygenase
1.14.13.207	Ipsdienol synthase
1.14.13.208	Benzoyl-CoA 2,3-epoxidase
1.14.13.209	Salicyloyl-CoA 5-hydroxylase
1.14.14.1	Unspecific monooxygenase
1.14.14.2	Transferred entry: 1.14.14.1
1.14.14.3	Alkanal monooxygenase (FMN-linked)
1.14.14.4	Transferred entry: 1.14.15.7
1.14.14.5	Alkanesulfonate monooxygenase
1.14.14.6	Transferred entry: 1.14.13.111
1.14.14.7	Transferred entry: 1.14.19.9
1.14.14.8	Anthranilate 3-monooxygenase (FAD)
1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase
1.14.14.10	Nitrilotriacetate monooxygenase
1.14.14.11	Styrene monooxygenase
1.14.14.12	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase
1.14.14.13	monooxygenase
1.14.14.14	Aromatase
1.14.14.15	protein SgcC2] monooxygenase
1.14.14.16	Steroid 21-monooxygenase
1.14.14.17	Squalene monooxygenase
1.14.14.18	Heme oxygenase (biliverdin-producing)
1.14.14.19	Steroid 17-alpha-monooxygenase
1.14.15.1	Camphor 5-monooxygenase
1.14.15.2	Transferred entry: 1.14.13.162
1.14.15.3	Alkane 1-monooxygenase
1.14.15.4	Steroid 11-beta-monooxygenase
1.14.15.5	Corticosterone 18-monooxygenase
1.14.15.6	Cholesterol monooxygenase (side-chain-cleaving)
1.14.15.7	Choline monooxygenase
1.14.15.8	Steroid 15-beta-monooxygenase
1.14.15.9	Spheroidene monooxygenase
1.14.15.10	(+)-camphor 6-endo-hydroxylase
1.14.15.11	Pentalenic acid synthase
1.14.15.12	Pimeloyl-[acyl-carrier protein] synthase
1.14.15.13	Pulcherriminic acid synthase
1.14.15.14	Methyl-branched lipid omega-hydroxylase
1.14.16.1	Phenylalanine 4-monooxygenase
1.14.16.2	Tyrosine 3-monooxygenase
1.14.16.3	Anthranilate 3-monooxygenase
1.14.16.4	Tryptophan 5-monooxygenase
1.14.16.5	Alkylglycerol monooxygenase
1.14.16.6	Mandelate 4-monooxygenase
1.14.16.7	Phenylalanine 3-monooxygenase
1.14.17.1	Dopamine beta-monooxygenase
1.14.17.2	Transferred entry: 1.14.18.1
1.14.17.3	Peptidylglycine monooxygenase
1.14.17.4	Aminocyclopropanecarboxylate oxidase
1.14.18.1	Tyrosinase
1.14.18.2	CMP-N-acetylneuraminate monooxygenase
1.14.18.3	Methane monooxygenase (particulate)
1.14.18.4	Phosphatidylcholine 12-monooxygenase
1.14.18.5	Sphingolipid C4-monooxygenase
1.14.18.6	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
1.14.18.7	Dihydroceramide fatty acyl 2-hydroxylase
1.14.18.8	7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase
1.14.19.1	Stearoyl-CoA 9-desaturase
1.14.19.2	Stearoyl-[acyl-carrier-protein] 9-desaturase
1.14.19.3	Acyl-CoA 6-desaturase
1.14.19.4	Acyl-lipid (11-3)-desaturase
1.14.19.5	Acyl-CoA 11-(Z)-desaturase
1.14.19.6	Acyl-CoA (9+3)-desaturase
1.14.19.7	Transferred entry: 1.11.1.23
1.14.19.8	Pentalenolactone synthase
1.14.19.9	Tryptophan 7-halogenase
1.14.19.10	Icosanoyl-CoA 5-desaturase
1.14.19.11	Acyl-[acyl-carrier-protein] 4-desaturase
1.14.19.12	Acyl-lipid omega-(9-4) desaturase
1.14.19.13	Acyl-CoA 15-desaturase
1.14.19.14	Linoleoyl-lipid Delta(9) conjugase
1.14.19.15	(11Z)-hexadec-11-enoyl-CoA conjugase
1.14.19.16	Linoleoyl-lipid Delta(12) conjugase (11E,13Z-forming)
1.14.19.17	Sphingolipid 4-desaturase
1.14.19.18	Sphingolipid 8-(E)-desaturase
1.14.19.19	Sphingolipid 10-desaturase
1.14.19.20	Delta(7)-sterol 5(6)-desaturase
1.14.19.21	Cholesterol 7-desaturase
1.14.19.22	Acyl-lipid omega-6 desaturase (cytochrome b5)
1.14.19.23	Acyl-lipid (n+3)-(Z)-desaturase (ferredoxin)
1.14.19.24	Acyl-CoA 11-(E)-desaturase
1.14.19.25	Acyl-lipid omega-3 desaturase (cytochrome b5)
1.14.19.26	Acyl-[acyl-carrier-protein] 6-desaturase
1.14.19.27	sn-2 palmitoyl-lipid 9-desaturase
1.14.19.28	sn-1 stearoyl-lipid 9-desaturase
1.14.19.29	Sphingolipid 8-(E/Z)-desaturase
1.14.19.30	Acyl-lipid (8-3)-desaturase
1.14.19.31	Acyl-lipid (7-3)-desaturase
1.14.19.32	Palmitoyl-CoA 14-(E/Z)-desaturase
1.14.19.33	Delta(12) acyl-lipid conjugase (11E,13E-forming)
1.14.19.34	Acyl-lipid (9+3)-(E)-desaturase
1.14.19.35	sn-2 acyl-lipid omega-3 desaturase (ferredoxin)
1.14.19.36	sn-1 acyl-lipid omega-3 desaturase (ferredoxin)
1.14.19.37	Acyl-CoA 5-desaturase
1.14.19.38	Acyl-lipid Delta(6)-acetylenase
1.14.19.39	Acyl-lipid Delta(12)-acetylenase
1.14.19.40	Hex-5-enoyl-[acyl-carrier protein] acetylenase
1.14.19.41	Sterol 22-desaturase
1.14.19.42	Palmitoyl-[glycerolipid] 7-desaturase
1.14.19.43	Palmitoyl-[glycerolipid] 3-(E)-desaturase
1.14.19.44	Acyl-CoA (8-3)-desaturase
1.14.19.45	sn-1 oleoyl-lipid 12-desaturase
1.14.19.46	sn-1 linoleoyl-lipid 6-desaturase
1.14.19.47	Acyl-lipid (9-3)-desaturase
1.14.20.1	Deacetoxycephalosporin-C synthase
1.14.20.2	2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase
1.14.20.3	(5R)-carbapenem-3-carboxylate synthase
1.14.21.1	(S)-stylopine synthase
1.14.21.2	(S)-cheilanthifoline synthase
1.14.21.3	Berbamunine synthase
1.14.21.4	Salutaridine synthase
1.14.21.5	(S)-canadine synthase
1.14.21.6	Transferred entry: 1.14.19.20
1.14.21.7	Biflaviolin synthase
1.14.21.8	Pseudobaptigenin synthase
1.14.21.9	Mycocyclosin synthase
1.14.21.10	Fumitremorgin C synthase
1.14.99.1	Prostaglandin-endoperoxide synthase
1.14.99.2	Kynurenine 7,8-hydroxylase
1.14.99.3	Transferred entry: 1.14.14.18
1.14.99.4	Progesterone monooxygenase
1.14.99.5	Transferred entry: 1.14.19.1
1.14.99.6	Transferred entry: 1.14.19.2
1.14.99.7	Transferred entry: 1.14.14.17
1.14.99.8	Transferred entry: 1.14.14.1
1.14.99.9	Transferred entry: 1.14.14.19
1.14.99.10	Transferred entry: 1.14.14.16
1.14.99.11	Estradiol 6-beta-monooxygenase
1.14.99.12	Androst-4-ene-3,17-dione monooxygenase
1.14.99.13	Transferred entry: 1.14.13.23
1.14.99.14	Progesterone 11-alpha-monooxygenase
1.14.99.15	4-methoxybenzoate monooxygenase (O-demethylating)
1.14.99.16	Transferred entry: 1.14.13.72
1.14.99.17	Transferred entry: 1.14.16.5
1.14.99.18	Deleted entry
1.14.99.19	Plasmanylethanolamine desaturase
1.14.99.20	Phylloquinone monooxygenase (2,3-epoxidizing)
1.14.99.21	Latia-luciferin monooxygenase (demethylating)
1.14.99.22	Ecdysone 20-monooxygenase
1.14.99.23	3-hydroxybenzoate 2-monooxygenase
1.14.99.24	Steroid 9-alpha-monooxygenase
1.14.99.25	Transferred entry: 1.14.19.3
1.14.99.26	2-hydroxypyridine 5-monooxygenase
1.14.99.27	Juglone 3-monooxygenase
1.14.99.28	Transferred entry: 1.14.13.151
1.14.99.29	Deoxyhypusine monooxygenase
1.14.99.30	Transferred entry: 1.3.5.6
1.14.99.31	Transferred entry: 1.14.19.24
1.14.99.32	Transferred entry: 1.14.19.5
1.14.99.33	Transferred entry: 1.14.19.39
1.14.99.34	Monoprenyl isoflavone epoxidase
1.14.99.35	Thiophene-2-carbonyl-CoA monooxygenase
1.14.99.36	Beta-carotene 15,15'-monooxygenase
1.14.99.37	Taxadiene 5-alpha-hydroxylase
1.14.99.38	Cholesterol 25-hydroxylase
1.14.99.39	Ammonia monooxygenase
1.14.99.40	Transferred entry: 1.13.11.79
1.14.99.41	Transferred entry: 1.13.11.75
1.14.99.42	Zeaxanthin 7,8-dioxygenase
1.14.99.43	Beta-amyrin 24-hydroxylase
1.14.99.44	Diapolycopene oxygenase
1.14.99.45	Carotene epsilon-monooxygenase
1.14.99.46	Pyrimidine monooxygenase
1.14.99.47	(+)-larreatricin hydroxylase
1.14.99.48	Heme oxygenase (staphylobilin-producing)
1.14.99.49	2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
1.14.99.50	Gamma-glutamyl hercynylcysteine S-oxide synthase
1.14.99.51	Hercynylcysteine S-oxide synthase
1.14.99.52	L-cysteinyl-L-histidinylsulfoxide synthase
1.15.1.1	Superoxide dismutase
1.15.1.2	Superoxide reductase
1.16.1.1	Mercury(II) reductase
1.16.1.2	Diferric-transferrin reductase
1.16.1.3	Aquacobalamin reductase
1.16.1.4	Cob(II)alamin reductase
1.16.1.5	Aquacobalamin reductase (NADPH)
1.16.1.6	Cyanocobalamin reductase (cyanide-eliminating)
1.16.1.7	Ferric-chelate reductase (NADH)
1.16.1.8	[Methionine synthase] reductase
1.16.1.9	Ferric-chelate reductase (NADPH)
1.16.1.10	Ferric-chelate reductase (NAD(P)H)
1.16.3.1	Ferroxidase
1.16.3.2	Bacterial non-heme ferritin
1.16.5.1	Ascorbate ferrireductase (transmembrane)
1.16.8.1	Cob(II)yrinic acid a,c-diamide reductase
1.16.9.1	Iron:rusticyanin reductase
1.16.98.1	Transferred entry: 1.16.9.1
1.17.1.1	CDP-4-dehydro-6-deoxyglucose reductase
1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
1.17.1.3	Leucoanthocyanidin reductase
1.17.1.4	Xanthine dehydrogenase
1.17.1.5	Nicotinate dehydrogenase
1.17.1.6	Transferred entry: 1.17.98.1
1.17.1.7	Transferred entry: 1.2.1.91
1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
1.17.2.1	Nicotinate dehydrogenase (cytochrome)
1.17.2.2	Lupanine 17-hydroxylase (cytochrome c)
1.17.3.1	Pteridine oxidase
1.17.3.2	Xanthine oxidase
1.17.3.3	6-hydroxynicotinate dehydrogenase
1.17.4.1	Ribonucleoside-diphosphate reductase
1.17.4.2	Ribonucleoside-triphosphate reductase
1.17.4.3	Transferred entry: 1.17.7.1
1.17.4.4	Vitamin-K-epoxide reductase (warfarin-sensitive)
1.17.4.5	Vitamin-K-epoxide reductase (warfarin-insensitive)
1.17.5.1	Phenylacetyl-CoA dehydrogenase
1.17.5.2	Caffeine dehydrogenase
1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
1.17.7.2	7-hydroxymethyl chlorophyll a reductase
1.17.7.3	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
1.17.98.1	Bile-acid 7-alpha-dehydroxylase
1.17.99.1	4-methylphenol dehydrogenase (hydroxylating)
1.17.99.2	Ethylbenzene hydroxylase
1.17.99.3	24-hydroxylase
1.17.99.4	Uracil/thymine dehydrogenase
1.17.99.5	Transferred entry: 1.17.98.1
1.17.99.6	Epoxyqueuosine reductase
1.18.1.1	Rubredoxin--NAD(+) reductase
1.18.1.2	Ferredoxin--NADP(+) reductase
1.18.1.3	Ferredoxin--NAD(+) reductase
1.18.1.4	Rubredoxin--NAD(P)(+) reductase
1.18.1.5	Putidaredoxin--NAD(+) reductase
1.18.1.6	Adrenodoxin-NADP(+) reductase
1.18.1.7	specific)
1.18.1.8	Ferredoxin-NAD(+) oxidoreductase (Na(+)-transporting)
1.18.2.1	Transferred entry: 1.18.6.1
1.18.3.1	Transferred entry: 1.12.7.2
1.18.6.1	Nitrogenase
1.18.96.1	Transferred entry: 1.15.1.2
1.18.99.1	Transferred entry: 1.12.7.2
1.19.6.1	Nitrogenase (flavodoxin)
1.20.1.1	Phosphonate dehydrogenase
1.20.2.1	Arsenate reductase (cytochrome c)
1.20.4.1	Arsenate reductase (glutaredoxin)
1.20.4.2	Methylarsonate reductase
1.20.4.3	Mycoredoxin
1.20.4.4	Arsenate reductase (thioredoxin)
1.20.9.1	Arsenate reductase (azurin)
1.20.98.1	Transferred entry: 1.20.9.1
1.20.99.1	Arsenate reductase (donor)
1.21.1.1	Iodotyrosine deiodinase
1.21.1.2	2,4-dichlorobenzoyl-CoA reductase
1.21.3.1	Isopenicillin-N synthase
1.21.3.2	Columbamine oxidase
1.21.3.3	Reticuline oxidase
1.21.3.4	Sulochrin oxidase ((+)-bisdechlorogeodin-forming)
1.21.3.5	Sulochrin oxidase ((-)-bisdechlorogeodin-forming)
1.21.3.6	Aureusidin synthase
1.21.3.7	Tetrahydrocannabinolic acid synthase
1.21.3.8	Cannabidiolic acid synthase
1.21.3.9	Dichlorochromopyrrolate synthase
1.21.4.1	D-proline reductase (dithiol)
1.21.4.2	Glycine reductase
1.21.4.3	Sarcosine reductase
1.21.4.4	Betaine reductase
1.21.98.1	Cyclic dehypoxanthinyl futalosine synthase
1.21.99.1	Beta-cyclopiazonate dehydrogenase
1.21.99.2	Transferred entry: 1.21.98.1
1.21.99.3	Thyroxine 5-deiodinase
1.21.99.4	Thyroxine 5'-deiodinase
1.22.1.1	Transferred entry: 1.21.1.1
1.23.1.1	(+)-pinoresinol reductase
1.23.1.2	(+)-lariciresinol reductase
1.23.1.3	(-)-pinoresinol reductase
1.23.1.4	(-)-lariciresinol reductase
1.23.5.1	Violaxanthin de-epoxidase
1.97.1.1	Chlorate reductase
1.97.1.2	Pyrogallol hydroxytransferase
1.97.1.3	Transferred entry: 1.12.98.4
1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme
1.97.1.5	Transferred entry: 1.20.4.1
1.97.1.6	Transferred entry: 1.20.99.1
1.97.1.7	Transferred entry: 1.20.4.2
1.97.1.8	Tetrachloroethene reductive dehalogenase
1.97.1.9	Selenate reductase
1.97.1.10	Transferred entry: 1.21.99.4
1.97.1.11	Transferred entry: 1.21.99.3
1.97.1.12	Photosystem I
1.98.1.1	Transferred entry: 1.12.7.2
1.99.1.1	Transferred entry: 1.14.14.1
1.99.1.2	Transferred entry: 1.14.16.1
1.99.1.3	Deleted entry
1.99.1.4	Deleted entry
1.99.1.5	Transferred entry: 1.14.13.9
1.99.1.6	Deleted entry
1.99.1.7	Transferred entry: 1.14.15.4
1.99.1.8	Deleted entry
1.99.1.9	Transferred entry: 1.14.14.19
1.99.1.10	Deleted entry
1.99.1.11	Transferred entry: 1.14.14.16
1.99.1.12	Deleted entry
1.99.1.13	Transferred entry: 1.14.14.17 and 5.4.99.7
1.99.1.14	Transferred entry: 1.13.11.27
1.99.2.1	Transferred entry: 1.13.11.12
1.99.2.2	Transferred entry: 1.13.11.1
1.99.2.3	Transferred entry: 1.13.11.3
1.99.2.4	Transferred entry: 1.13.11.4
1.99.2.5	Transferred entry: 1.13.11.5
1.99.2.6	Transferred entry: 1.13.99.1
2.1.1.1	Nicotinamide N-methyltransferase
2.1.1.2	Guanidinoacetate N-methyltransferase
2.1.1.3	Thetin--homocysteine S-methyltransferase
2.1.1.4	Acetylserotonin O-methyltransferase
2.1.1.5	Betaine--homocysteine S-methyltransferase
2.1.1.6	Catechol O-methyltransferase
2.1.1.7	Nicotinate N-methyltransferase
2.1.1.8	Histamine N-methyltransferase
2.1.1.9	Thiol S-methyltransferase
2.1.1.10	Homocysteine S-methyltransferase
2.1.1.11	Magnesium protoporphyrin IX methyltransferase
2.1.1.12	Methionine S-methyltransferase
2.1.1.13	Methionine synthase
2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
2.1.1.15	Fatty-acid O-methyltransferase
2.1.1.16	Methylene-fatty-acyl-phospholipid synthase
2.1.1.17	Phosphatidylethanolamine N-methyltransferase
2.1.1.18	Polysaccharide O-methyltransferase
2.1.1.19	Trimethylsulfonium--tetrahydrofolate N-methyltransferase
2.1.1.20	Glycine N-methyltransferase
2.1.1.21	Methylamine--glutamate N-methyltransferase
2.1.1.22	Carnosine N-methyltransferase
2.1.1.23	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322
2.1.1.24	Transferred entry: 2.1.1.77, 2.1.1.80 and 2.1.1.100
2.1.1.25	Phenol O-methyltransferase
2.1.1.26	Iodophenol O-methyltransferase
2.1.1.27	Tyramine N-methyltransferase
2.1.1.28	Phenylethanolamine N-methyltransferase
2.1.1.29	Transferred entry: 2.1.1.202, 2.1.1.203 and 2.1.1.204
2.1.1.30	Deleted entry
2.1.1.31	Transferred entry: 2.1.1.221 and 2.1.1.228
2.1.1.32	Transferred entry: 2.1.1.213, 2.1.1.214, 2.1.1.215 and 2.1.1.216
2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase
2.1.1.34	tRNA (guanosine(18)-2'-O)-methyltransferase
2.1.1.35	tRNA (uracil(54)-C(5))-methyltransferase
2.1.1.36	Transferred entry: 2.1.1.217, 2.1.1.218, 2.1.1.219 and 2.1.1.220
2.1.1.37	DNA (cytosine-5-)-methyltransferase
2.1.1.38	O-demethylpuromycin O-methyltransferase
2.1.1.39	Inositol 3-methyltransferase
2.1.1.40	Inositol 1-methyltransferase
2.1.1.41	Sterol 24-C-methyltransferase
2.1.1.42	Flavone 3'-O-methyltransferase
2.1.1.43	Histone-lysine N-methyltransferase
2.1.1.44	L-histidine N(alpha)-methyltransferase
2.1.1.45	Thymidylate synthase
2.1.1.46	Isoflavone 4'-O-methyltransferase
2.1.1.47	Indolepyruvate C-methyltransferase
2.1.1.48	Transferred entry: 2.1.1.181, 2.1.1.182, 2.1.1.183 and 2.1.1.184
2.1.1.49	Amine N-methyltransferase
2.1.1.50	Loganate O-methyltransferase
2.1.1.51	Transferred entry: 2.1.1.187 and 2.1.1.188
2.1.1.52	Transferred entry: 2.1.1.171, 2.1.1.172, 2.1.1.173 and 2.1.1.174
2.1.1.53	Putrescine N-methyltransferase
2.1.1.54	Deoxycytidylate C-methyltransferase
2.1.1.55	tRNA (adenine-N(6)-)-methyltransferase
2.1.1.56	mRNA (guanine-N(7)-)-methyltransferase
2.1.1.57	Methyltransferase cap1
2.1.1.58	Transferred entry: 2.1.1.57
2.1.1.59	[Cytochrome c]-lysine N-methyltransferase
2.1.1.60	Calmodulin-lysine N-methyltransferase
2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
2.1.1.62	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase
2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase
2.1.1.64	3-demethylubiquinol 3-O-methyltransferase
2.1.1.65	Licodione 2'-O-methyltransferase
2.1.1.66	Transferred entry: 2.1.1.230
2.1.1.67	Thiopurine S-methyltransferase
2.1.1.68	Caffeate O-methyltransferase
2.1.1.69	5-hydroxyfuranocoumarin 5-O-methyltransferase
2.1.1.70	8-hydroxyfuranocoumarin 8-O-methyltransferase
2.1.1.71	Phosphatidyl-N-methylethanolamine N-methyltransferase
2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)
2.1.1.73	Transferred entry: 2.1.1.37
2.1.1.74	(FADH(2)-oxidizing)
2.1.1.75	Apigenin 4'-O-methyltransferase
2.1.1.76	Quercetin 3-O-methyltransferase
2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase
2.1.1.78	Isoorientin 3'-O-methyltransferase
2.1.1.79	Cyclopropane-fatty-acyl-phospholipid synthase
2.1.1.80	Protein-glutamate O-methyltransferase
2.1.1.81	Transferred entry: 2.1.1.49
2.1.1.82	3-methylquercetin 7-O-methyltransferase
2.1.1.83	3,7-dimethylquercetin 4'-O-methyltransferase
2.1.1.84	Methylquercetagetin 6-O-methyltransferase
2.1.1.85	Protein-histidine N-methyltransferase
2.1.1.86	Tetrahydromethanopterin S-methyltransferase
2.1.1.87	Pyridine N-methyltransferase
2.1.1.88	8-hydroxyquercetin 8-O-methyltransferase
2.1.1.89	Tetrahydrocolumbamine 2-O-methyltransferase
2.1.1.90	Methanol--corrinoid protein Co-methyltransferase
2.1.1.91	Isobutyraldoxime O-methyltransferase
2.1.1.92	Transferred entry: 2.1.1.69
2.1.1.93	Transferred entry: 2.1.1.70
2.1.1.94	Tabersonine 16-O-methyltransferase
2.1.1.95	Tocopherol O-methyltransferase
2.1.1.96	Thioether S-methyltransferase
2.1.1.97	3-hydroxyanthranilate 4-C-methyltransferase
2.1.1.98	Diphthine synthase
2.1.1.99	3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase
2.1.1.100	Protein-S-isoprenylcysteine O-methyltransferase
2.1.1.101	Macrocin O-methyltransferase
2.1.1.102	Demethylmacrocin O-methyltransferase
2.1.1.103	Phosphoethanolamine N-methyltransferase
2.1.1.104	Caffeoyl-CoA O-methyltransferase
2.1.1.105	N-benzoyl-4-hydroxyanthranilate 4-O-methyltransferase
2.1.1.106	Tryptophan 2-C-methyltransferase
2.1.1.107	Uroporphyrinogen-III C-methyltransferase
2.1.1.108	6-hydroxymellein O-methyltransferase
2.1.1.109	Demethylsterigmatocystin 6-O-methyltransferase
2.1.1.110	Sterigmatocystin 8-O-methyltransferase
2.1.1.111	Anthranilate N-methyltransferase
2.1.1.112	Glucuronoxylan 4-O-methyltransferase
2.1.1.113	Site-specific DNA-methyltransferase (cytosine-N(4)-specific)
2.1.1.114	Polyprenyldihydroxybenzoate methyltransferase
2.1.1.115	(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase
2.1.1.116	3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase
2.1.1.117	(S)-scoulerine 9-O-methyltransferase
2.1.1.118	Columbamine O-methyltransferase
2.1.1.119	10-hydroxydihydrosanguinarine 10-O-methyltransferase
2.1.1.120	12-hydroxydihydrochelirubine 12-O-methyltransferase
2.1.1.121	6-O-methylnorlaudanosoline 5'-O-methyltransferase
2.1.1.122	(S)-tetrahydroprotoberberine N-methyltransferase
2.1.1.123	[Cytochrome c]-methionine S-methyltransferase
2.1.1.124	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322
2.1.1.125	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322
2.1.1.126	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322
2.1.1.127	[Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase
2.1.1.128	(RS)-norcoclaurine 6-O-methyltransferase
2.1.1.129	Inositol 4-methyltransferase
2.1.1.130	Precorrin-2 C(20)-methyltransferase
2.1.1.131	Precorrin-3B C(17)-methyltransferase
2.1.1.132	Precorrin-6B C(5,15)-methyltransferase (decarboxylating)
2.1.1.133	Precorrin-4 C(11)-methyltransferase
2.1.1.134	Transferred entry: 2.1.1.129
2.1.1.135	Transferred entry: 1.16.1.8
2.1.1.136	Chlorophenol O-methyltransferase
2.1.1.137	Arsenite methyltransferase
2.1.1.138	Deleted entry
2.1.1.139	3'-demethylstaurosporine O-methyltransferase
2.1.1.140	(S)-coclaurine-N-methyltransferase
2.1.1.141	Jasmonate O-methyltransferase
2.1.1.142	Cycloartenol 24-C-methyltransferase
2.1.1.143	24-methylenesterol C-methyltransferase
2.1.1.144	Trans-aconitate 2-methyltransferase
2.1.1.145	Trans-aconitate 3-methyltransferase
2.1.1.146	(Iso)eugenol O-methyltransferase
2.1.1.147	Corydaline synthase
2.1.1.148	Thymidylate synthase (FAD)
2.1.1.149	Transferred entry: 2.1.1.267
2.1.1.150	Isoflavone 7-O-methyltransferase
2.1.1.151	Cobalt-factor II C(20)-methyltransferase
2.1.1.152	Precorrin-6A synthase (deacetylating)
2.1.1.153	Vitexin 2''-O-rhamnoside 7-O-methyltransferase
